fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
32031001012,108,0,43,7,77,20,0,47,56,80,215,142,141,52,67,113,1168,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,247,21,0,0,0,39,0,0,22,42,0,17,58,0,18,22,8,672,87,0,0,0,8,20,0,25,0,30,149,76,110,34,45,88,233,0,0,43,7,30,0,0,0,14,50,33,8,31,0,0,17
33011010200,123,111,39,101,86,171,88,134,141,167,381,419,414,186,251,159,2971,103,0,18,0,10,0,0,0,13,7,13,42,0,0,0,0,0,1206,25,52,0,13,45,96,12,79,31,35,199,228,157,120,77,37,1323,98,25,0,54,15,23,17,42,61,84,140,191,227,66,158,122,339,0,16,39,24,26,52,59,0,42,35,0,0,30,0,16,0
34003013002,160,142,43,105,93,113,94,53,18,142,189,173,329,163,422,362,2601,62,0,0,0,0,0,13,0,0,0,0,0,0,0,0,49,0,1245,55,33,0,67,83,22,14,0,0,83,152,106,166,22,243,199,831,32,71,29,0,10,38,80,24,11,15,15,60,61,141,117,127,463,73,38,14,38,0,40,0,29,7,44,22,7,102,0,13,36
34003047400,82,49,14,80,54,22,84,47,62,7,149,218,340,185,245,386,2024,22,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,666,50,0,0,0,18,0,0,23,34,7,70,85,119,64,76,120,929,21,37,0,74,11,0,29,0,20,0,39,43,194,104,149,208,407,11,0,14,6,25,22,55,24,8,0,30,90,27,17,20,58
34007603301,152,110,76,109,62,190,43,100,131,241,131,231,316,78,176,120,2266,29,0,0,0,0,0,0,16,0,0,0,0,13,0,0,0,0,909,54,29,20,15,14,112,27,17,131,54,58,70,202,28,78,0,805,48,0,8,64,14,78,0,72,0,60,31,121,85,50,79,95,523,50,81,48,30,34,0,0,11,0,127,42,27,29,0,19,25
34013016800,68,57,74,38,10,35,57,104,54,167,262,220,128,76,109,88,1547,23,6,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,682,25,13,0,0,0,0,10,65,45,58,169,114,41,59,75,8,591,30,9,56,30,10,16,47,24,0,100,51,82,52,17,26,41,251,7,35,18,8,0,9,0,8,9,9,42,24,35,0,8,39
34013017400,39,35,41,10,23,84,15,70,0,93,176,352,167,220,240,436,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,16,0,0,0,0,65,0,39,0,0,50,72,60,43,93,249,792,0,0,0,10,10,0,0,31,0,37,45,141,59,162,110,187,522,23,35,41,0,13,19,15,0,0,56,81,139,48,15,37,0
34025801000,91,41,52,12,8,8,121,90,15,93,169,133,184,156,164,292,1629,47,0,12,0,0,0,0,0,9,0,0,0,0,26,0,0,0,479,0,0,33,12,0,0,40,49,0,52,94,24,38,51,66,20,702,13,0,7,0,0,8,58,11,6,20,19,77,99,86,70,228,401,78,29,12,0,8,0,23,21,9,21,56,32,21,19,28,44
34027043800,48,136,0,217,68,147,12,57,35,129,194,385,254,190,327,205,2404,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1081,16,0,0,81,17,18,0,0,0,109,67,242,109,139,167,116,882,0,80,0,46,33,45,12,18,20,0,54,129,145,51,160,89,432,32,56,0,90,18,84,0,39,15,20,64,14,0,0,0,0
34039032901,79,16,9,28,50,14,42,62,27,50,169,291,146,179,103,104,1369,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,405,7,0,0,0,26,9,23,33,12,14,47,66,39,64,26,39,585,36,0,0,17,0,0,0,0,0,21,80,152,86,81,55,57,372,36,16,9,11,24,5,19,29,15,15,42,66,21,34,22,8
